iter	Logloss
0	0.6094563582
1	0.5656075274
2	0.5432688318
3	0.5306094542
4	0.5257014358
5	0.5213713973
6	0.5111318359
7	0.5083200618
8	0.5057523226
9	0.5027757733
10	0.5011669922
11	0.4978589659
12	0.4967228806
13	0.4957861328
14	0.4946605654
15	0.4934080052
16	0.4915356181
17	0.4907990393
18	0.4897787822
19	0.4886180849
20	0.4877225507
21	0.4853915488
22	0.4849631546
23	0.48410213
24	0.4836368111
25	0.4821834222
26	0.4816619378
27	0.4807959776
28	0.4802437843
29	0.4787848395
30	0.4784643951
31	0.478046941
32	0.4775556113
33	0.4764227856
34	0.4761158018
35	0.4756657517
36	0.4753958509
37	0.475115815
38	0.4735671321
39	0.4733138329
40	0.4726236143
41	0.4722948427
42	0.4718873786
43	0.4717136164
44	0.4714506968
45	0.4701696315
46	0.4699542071
47	0.469767433
48	0.4691075406
49	0.4678710014
50	0.4671969093
51	0.4669957902
52	0.4668689427
53	0.4662572186
54	0.4659671004
55	0.4654807195
56	0.4648176995
57	0.464639622
58	0.4643710146
59	0.464098712
60	0.4638748944
61	0.4637641074
62	0.4636796743
63	0.4634515678
64	0.4632676309
65	0.4629656092
66	0.462815113
67	0.4626990868
68	0.4625783889
69	0.4618663165
70	0.4616532147
71	0.4615969832
72	0.4614882021
73	0.4613118929
74	0.4611782095
75	0.4610540013
76	0.4608116818
77	0.4607294394
78	0.4604163587
79	0.4603016258
80	0.460194811
81	0.460108372
82	0.460037954
83	0.4599730654
84	0.4598293919
85	0.4596795159
86	0.4594736724
87	0.4594309148
88	0.4589282227
89	0.4588551784
90	0.458795199
91	0.4586335251
92	0.4585386534
93	0.4582759713
94	0.4581979783
95	0.4580289933
96	0.4579607659
97	0.4578750792
98	0.4577379117
99	0.4575951753
