iter	Passed	Remaining
0	300	29771
1	449	22010
2	584	18909
3	707	16978
4	825	15690
5	932	14606
6	1025	13628
7	1136	13066
8	1243	12571
9	1348	12133
10	1448	11721
11	1541	11306
12	1644	11007
13	1732	10639
14	1823	10331
15	1912	10042
16	2005	9790
17	2114	9632
18	2222	9473
19	2312	9250
20	2408	9062
21	2515	8916
22	2614	8752
23	2717	8606
24	2816	8450
25	2916	8300
26	3021	8168
27	3137	8068
28	3238	7929
29	3351	7820
30	3446	7672
31	3552	7549
32	3652	7415
33	3755	7289
34	3873	7192
35	3988	7091
36	4092	6967
37	4188	6834
38	4278	6691
39	4383	6574
40	4497	6472
41	4608	6363
42	4703	6234
43	4809	6121
44	4915	6007
45	5030	5905
46	5126	5780
47	5219	5653
48	5310	5527
49	5428	5428
50	5534	5317
51	5633	5200
52	5734	5084
53	5852	4985
54	5953	4870
55	6087	4782
56	6187	4667
57	6284	4550
58	6384	4436
59	6489	4326
60	6601	4220
61	6706	4110
62	6786	3985
63	6880	3870
64	7015	3777
65	7114	3665
66	7228	3560
67	7331	3450
68	7436	3341
69	7538	3230
70	7642	3121
71	7727	3005
72	7864	2908
73	8065	2833
74	8174	2724
75	8280	2614
76	8378	2502
77	8491	2394
78	8600	2286
79	8697	2174
80	8811	2066
81	8915	1957
82	9025	1848
83	9126	1738
84	9228	1628
85	9320	1517
86	9425	1408
87	9524	1298
88	9638	1191
89	9721	1080
90	9815	970
91	9931	863
92	10037	755
93	10164	648
94	10274	540
95	10375	432
96	10462	323
97	10555	215
98	10671	107
99	10768	0
